Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future, Grant_Existing , Grant_FY , Grant_Future ,GO_Expended,Capital_Year_0, CapitalYear_1 ,Capital_Year_25,Grant_Expended,Grant_Year_0, Grant_Year_1 ,GrantYear_25,External_Funds,Total_Project_Budget
Office of Arts & Culture,The Legacy of Frederick Douglass,Fabricate and install a bronze figure grouping and construct a plaza honoring Frederick Douglass in Douglass Square.,Office of Arts and Culture,Implementation Underway,Roxbury,550000,0,0,0,0,0,0,75000,150000,325000,0,0,0,0,0,550000
Parks and Recreation Department,Bay Village Neighborhood Park,"Comprehensive park renovation and addition of new plantings, park furniture, and interpretive feature describing neighborhood history.",Parks and Recreation Department,In Design,Bay Village,550000,0,0,0,0,0,5758,25000,125000,394242,0,0,0,0,25000,575000
Parks and Recreation Department,Dorchester Park Pathways,Mill and repave existing paved walkways in Dorchester Park.,Parks and Recreation Department,In Design,Dorchester,1820000,0,0,0,0,0,0,0,100000,1720000,0,0,0,0,0,1820000
Parks and Recreation Department,Harambee Park Phase 4,Reconstruction of both cricket fields and the little league field.,Parks and Recreation Department,In Design,Dorchester,2090000,0,0,0,0,0,0,0,500000,1590000,0,0,0,0,0,2090000
Parks and Recreation Department,McLean Playground,Improvements to basketball court and nearby areas to improve accessibility and access to the site.,Parks and Recreation Department,In Design,East Boston,910000,0,0,0,0,0,0,250000,660000,0,0,0,0,0,0,910000
Parks and Recreation Department,Paula Titus Park,Design and construction of a new park.,Parks and Recreation Department,In Construction,Roxbury,1000000,0,0,0,0,0,25875,125000,700000,149125,0,0,0,0,35000,1035000
Parks and Recreation Department,Jamaica Pond Boathouse Study,Programming study for Jamaica Pond Boathouse.,Public Facilities Department,To Be Scheduled,Jamaica Plain,500000,0,0,0,0,0,0,0,50000,450000,0,0,0,0,0,500000
Parks and Recreation Department,Greenhouses at Franklin Park,Renovation and heating system upgrades for BPRD's greenhouse facility.,Public Facilities Department,To Be Scheduled,Roxbury,750000,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,750000
Parks and Recreation Department,Ringer Playground,Design of recommendations from the master plan.,Parks and Recreation Department,In Design,Allston/Brighton,250000,1450000,0,0,0,0,0,0,125000,1575000,0,0,0,0,0,1700000
Parks and Recreation Department,Public Garden Tool House,Design of facility upgrades at the Public Garden Tool Shed.,Public Facilities Department,In Design,Beacon Hill,300000,8310000,0,0,0,0,0,100000,500000,8010000,0,0,0,0,0,8610000
Police Department,Police Academy HVAC Repairs,Replace HVAC and boiler system at the Police Academy.,Public Facilities Department,In Construction,Hyde Park,970000,0,0,0,0,0,31500,250000,688500,0,0,0,0,0,0,970000
Public Health Commission,IT Disaster Recovery/Business Continuity,Establish a disaster recovery site to increase disaster preparedness of BPHC’s primary computer system infrastructure.,Department of Innovation and Technology,To Be Scheduled,Citywide,565000,0,0,0,0,0,0,0,200000,365000,0,0,0,0,0,565000
Public Health Commission,Northampton Square Electrical Improvements,Implement electrical upgrades at Northampton Square including separation of the Miranda Creamer Low Rise electrical service from the High Rise.,Public Facilities Department,In Construction,Roxbury,330000,0,0,0,0,0,12500,75000,240000,2500,0,0,0,0,0,330000
Public Health Commission,EMS Neighborhood Station Study,Programming and site evaluation to support EMS facilities that better serve each community with Emergency Medical Services.,Public Facilities Department,To Be Scheduled,Citywide,100000,400000,0,0,0,0,0,0,100000,400000,0,0,0,0,0,500000
Public Works Department,Massachusetts Avenue and Melnea Cass Boulevard Intersection,"Re-design the intersection of Massachusetts Avenue and Melnea Cass Boulevard to improve pedestrian, bicycle and vehicular safety.",Public Works Department,In Design,Multiple Neighborhoods,1500000,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,1500000
Transportation Department,Parking Meter and School Zone Signal Upgrade,Upgrade the technological infrastructure for all City meters and school zone signals.,Boston Transportation Department,Implementation Underway,Citywide,0,0,0,1650000,0,0,0,0,0,0,345165,865000,325000,114835,0,1650000
Transportation Department,Bikeshare Dock Replacement,"Replace portions of City's bikeshare system, including docks, kiosks and bikes.",Boston Transportation Department,Implementation Underway,Citywide,0,0,0,1250000,521100,500000,0,0,0,0,0,1000000,1250000,21100,0,2271100
Parks and Recreation Department,Field House Programming Study,Study and design of facility and programming improvements at Billings Field Fieldhouse and Lee Playground Fieldhouse.,Public Facilities Department,To Be Scheduled,Multiple Neighborhoods,125000,0,0,0,0,0,0,0,125000,0,0,0,0,0,0,125000
Boston Public Schools,Madison Park Technical Vocational High School Design,Design to begin major redesign and renovation of Madison Park Technical Vocational HS.,Public Facilities Department,Study Underway,Roxbury,615000,45000000,0,0,0,0,0,300000,2500000,42815000,0,0,0,0,0,45615000
Transportation Department,Mission Hill Transportation Planning,Planning for pedestrian improvements.,Boston Transportation Department,In Design,Mission Hill,300000,0,0,0,0,0,0,25000,275000,0,0,0,0,0,0,300000
Mayor's Office of Housing,BHA Charlestown,"Investment that supports the redevelopment of the Bunker Hill Housing Development. The initial phase includes 236 affordable units and over the life of the project will produce 1,010 affordable units.",Boston Housing Authority,In Construction,Charlestown,30000000,0,0,0,0,0,1245709,2000000,9000000,17754291,0,0,0,0,0,30000000
Mayor's Office of Housing,BHA Housing Improvements,"Upgrade elderly/disabled public housing units in several BHA communities including Saint Botolph in the South End, the Doris Bunte Apartments in Egleston Square, and Patricia White in Brighton.",Boston Housing Authority,Annual Program,Multiple Neighborhoods,10000000,5000000,0,0,0,0,10000000,0,2500000,2500000,0,0,0,0,0,15000000
Boston Public Schools,Kennedy Academy Envelope,"Repair roof, masonry, windows, and doors.",Boston Public Schools,In Design,Mission Hill,1892212,0,0,0,0,0,0,100000,200000,1592212,0,0,0,0,0,1892212
Boston Centers for Youth and Families,BCYF Allston Community Center,Develop building program and assess siting options for a new community center in Allston/Brighton.,Public Facilities Department,Study Underway,Allston/Brighton,125000,4000000,0,0,0,0,0,85000,500000,3540000,0,0,0,0,0,4125000
Public Works Department,Sidewalk Repairs,Various brick sidewalk and pedestrian ramp repairs and reconstruction.,Public Works Department,To Be Scheduled,Citywide,250000,0,0,0,0,0,0,0,125000,125000,0,0,0,0,0,250000
Parks and Recreation Department,Murphy Playground,Renovation of park including refurbishing ball fields.,Parks and Recreation Department,In Design,Jamaica Plain,2400000,500000,0,0,0,0,0,0,125000,2775000,0,0,0,0,0,2900000
Transportation Department,Lost Village Streets,"Design and construct improvements to roads, sidewalks and signals in the Lost Village section of Charlestown.",Boston Transportation Department,In Design,Charlestown,666000,0,0,534000,0,0,0,0,100000,566000,0,0,50000,484000,0,1200000
Boston Public Schools,ARP 2021: Windows and Boilers at 4 Schools,Replace windows and doors at Boston Day and Evening Academy and the Hernandez School. Replace boiler at the Russell School and Henderson Upper School.,Public Facilities Department,In Design,Multiple Neighborhoods,9840708,0,0,12739838,0,0,0,500000,5000000,4340708,0,150000,6500000,6089838,0,22580546
Transportation Department,Blue Hill Avenue Multimodal Corridor,"On Blue Hill Avenue, the creation of center-running dedicated bus lanes, redesigned Mattapan Square for improved bus connection to the MBTA station, protected bike lanes, signal changes, and sidewalks.",Boston Transportation Department,In Design,Multiple Neighborhoods,18224000,0,0,0,0,0,0,0,0,18224000,0,0,0,0,21232000,39456000
Boston Centers for Youth and Families,Youth Budget Round 10,"Engage youth across the City to create a capital ""Youth Budget"", using participatory budgeting methods.",Youth Engagement and Employment,Implementation Underway,Citywide,1000000,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000
Office of Arts & Culture,Chinatown Worker Statues Project,"Design, fabricate, and install four bronze figures on four separate sites in the Chinatown neighborhood of Boston.",Office of Arts and Culture,To Be Scheduled,Chinatown,1000000,0,0,0,0,0,0,0,100000,900000,0,0,0,0,0,1000000
Office of Arts & Culture,Art Signage Upgrades,"Design, fabricate, and install custom interpretative signage for numerous artworks across the City.",Office of Arts and Culture,To Be Scheduled,Citywide,100000,0,0,0,0,0,0,0,50000,50000,0,0,0,0,0,100000
Office of Arts & Culture,Park Plaza Monument/Memorial,"Select an artist who will design, manage the fabrication and the installation of a new artwork to be installed on the site formerly occupied by the Emancipation Group statue in Park Plaza.",Office of Arts and Culture,To Be Scheduled,Bay Village,500000,0,0,0,0,0,0,0,50000,450000,0,0,0,0,0,500000
Office of Arts & Culture,Emergent Memory (Cocoanut Grove Memorial)," Design, fabrication, site preparation, and installation of public art in Statler Park.",Office of Arts and Culture,To Be Scheduled,Bay Village,305000,0,0,0,0,0,0,0,50000,255000,0,0,0,0,145000,450000
Boston Planning and Development Agency,Pier 10 Park Ferry Terminal,Develop design plans to create a ferry service from Pier 10 to North Station for more reliable transit services in the Marine Park.,Boston Planning and Development Agency,To Be Scheduled,South Boston,500000,0,0,0,0,0,0,50000,250000,200000,0,0,0,0,0,500000
Boston Planning and Development Agency,Little Mystic Open Space / Harborwalk,Extend Harborwalk along the edge of Little Mystic Channel on property owned by the BPDA. City funds will be used to complete the design. The Harborwalk extension will connect with the new Chelsea Street crossing to the Charlestown Navy Yard.,Boston Planning and Development Agency,To Be Scheduled,Charlestown,1000000,0,0,0,0,0,0,0,100000,900000,0,0,0,0,0,1000000
Environment Department,Climate Ready Streets,"Plan, design, and construct infrastructure in areas on and adjacent to public streets that reduce storm water flooding, protect residents from extreme heat, and improve air quality. Program will target transit corridors with on-going capital projects.",Environment Department,To Be Scheduled,Citywide,2500000,0,0,0,0,0,0,0,500000,2000000,0,0,0,0,0,2500000
Environment Department,Urban Wilds Land Management Plan,"Develop an Urban Wilds conservation and land management plan to establish criteria to prioritize future capital renovations, land acquisition, and management priorities for existing properties.",Environment Department,To Be Scheduled,Citywide,350000,0,0,0,0,0,0,0,175000,175000,0,0,0,0,0,350000
Fire Department,Fire Boat,"Replace the ""Damrell"", the department's current 70 foot fire boat.",Boston Fire Department,Implementation Underway,Citywide,5000000,2100000,0,0,0,0,0,0,2000000,5100000,0,0,0,0,0,7100000
Fire Department,Dive Boat,Replace the department's current dive boat.,Boston Fire Department,Implementation Underway,Citywide,1700000,0,0,0,0,0,0,0,1700000,0,0,0,0,0,0,1700000
Fire Department,Special Operations Command,Programming and design for a new Special Operations Command facility.,Public Facilities Department,To Be Scheduled,Citywide,3000000,0,0,0,0,0,0,5000,0,2995000,0,0,0,0,0,3000000
Boston Public Library,Egleston Square Branch Library,Design and construct a new branch library that supports the needs of the neighborhood and reflects the Boston Public Library's Compass Principles.,Public Facilities Department,In Design,Roxbury,3000000,28510000,0,0,0,0,0,50000,2000000,29460000,0,0,0,0,0,31510000
Boston Public Library,West End Branch Library,Design and construct a new branch library. Develop a building program that reflects the Boston Public Library's Compass Principles and supports the needs of the neighborhood.,Public Facilities Department,To Be Scheduled,West End,3000000,0,0,0,0,0,0,0,0,3000000,0,0,0,0,0,3000000
Boston Public Library,Connolly Branch Library,"Upgrade and replace mechanical systems, windows, roof, and waterproof façade. Assess space programming.",Public Facilities Department,In Design,Jamaica Plain,575000,0,0,0,0,0,0,0,150000,425000,0,0,0,0,0,575000
Boston Public Library,Hyde Park Branch Library,"Upgrade boiler, windows, roof, and façade repairs. Assess space programming.",Public Facilities Department,In Design,Hyde Park,500000,0,0,0,0,0,0,0,150000,350000,0,0,0,0,0,500000
Mayor's Office of Housing,Mildred C. Hailey Phase 1 Redevelopment,The project will consist of a total of ~690 apartments which will include the 1-to-1 replacement of the existing 253 public housing units and the construction of ~435 new affordable and upper middle-income apartments.,Boston Housing Authority,In Construction,Jamaica Plain,10000000,7000000,0,0,0,0,0,10000000,7000000,0,0,0,0,0,0,17000000
Mayor's Office of Housing,Mary Ellen McCormack Redevelopment,"Phase One comprises 1,365 units of new mixed-income housing (572 of which are affordable replacement units), 69,000 sq. ft. of community and retail space, 2.3 acres of open space, and approx. 520 parking spaces.",Boston Housing Authority,In Design,South Boston,10000000,10000000,0,0,0,0,0,10000000,5000000,5000000,0,0,0,0,0,20000000
Mayor's Office of Housing,Mildred C. Hailey Preservation,"Renovate existing BHA housing units including plumbing, ventilation, windows, and other building repairs.",Boston Housing Authority,In Design,Jamaica Plain,52000000,0,0,0,0,0,0,3750000,3750000,44500000,0,0,0,0,0,52000000
Police Department,Window and Roof Replacements at 4 Stations,"Replace windows at District stations C6, C11, and E18 and roofs at C11 and E13.",Public Facilities Department,In Design,Multiple Neighborhoods,2700000,0,0,0,0,0,0,550000,2150000,0,0,0,0,0,0,2700000
Police Department,Computer Aided Dispatch System Upgrade,CAD upgrades to match the RMS system replacement and allow for interoperability between CAD and RMS.,Boston Police Department,Implementation Underway,Citywide,3301000,0,0,0,0,0,0,0,0,3301000,0,0,0,0,0,3301000
Public Health Commission,Northampton Square Garage,Structural and other repairs as needed.,Public Facilities Department,In Design,Roxbury,400000,0,0,0,0,0,0,0,100000,300000,0,0,0,0,0,400000
Public Health Commission,201 River Street HVAC,"Upgrade HVAC for improved heating, cooling, and ventilation systems.",Public Facilities Department,In Design,Mattapan,4850000,0,0,0,0,0,0,0,200000,4650000,0,0,0,0,0,4850000
Property Management Department,Faneuil Hall and Sam Adams Park,"Repair masonry, address drainage issues and create an accessible walkway. Install permanent decorative wrought iron gates around the basement windows and restore the bronze fixtures.",Public Facilities Department,In Design,Downtown/Government Center,400000,60000,0,0,0,0,0,0,100000,360000,0,0,0,0,0,460000
Property Management Department,Veronica Smith Senior Center,Replace HVAC system.,Public Facilities Department,To Be Scheduled,Allston/Brighton,400000,0,0,0,0,0,0,0,100000,300000,0,0,0,0,0,400000
Property Management Department,1010 Massachusetts Avenue,Programming study and building assessment of 1010 Mass. Ave.,Public Facilities Department,Study Underway,Roxbury,500000,0,0,0,0,0,0,0,100000,400000,0,0,0,0,0,500000
Property Management Department,43 Hawkins Street,Roof replacement and exterior envelope repairs.,Public Facilities Department,In Design,Downtown/Government Center,5000000,0,0,0,0,0,0,80000,0,4920000,0,0,0,0,0,5000000
Parks and Recreation Department,O'Day Playground,"Renovate park including play lots, water play, basketball court, and plaza area.",Parks and Recreation Department,In Design,South End,400000,1830000,0,400000,0,0,0,0,600000,1630000,0,0,400000,0,0,2630000
Parks and Recreation Department,Byrne Playground,"Renovate park including play lots, courts, and passive areas.",Parks and Recreation Department,In Design,Dorchester,400000,0,1970000,0,0,0,0,0,150000,2220000,0,0,0,0,0,2370000
Parks and Recreation Department,Geneva Cliffs Urban Wild,"Reprogram Geneva Cliffs from an Urban Wild to a city park with playground, passive seating, walking paths, and accessible entrances.",Parks and Recreation Department,To Be Scheduled,Dorchester,400000,0,1600000,0,0,0,0,0,150000,1850000,0,0,0,0,0,2000000
Parks and Recreation Department,Clifford Playground,Develop design for a comprehensive park renovation.,Parks and Recreation Department,In Design,Roxbury,600000,6620000,0,0,0,0,0,25000,500000,6695000,0,0,0,0,0,7220000
Parks and Recreation Department,Roslindale Wetlands Phase 2,Complete trailhead improvements and wetland restoration of the entire site following in the work of Phase 1.,Parks and Recreation Department,In Construction,Roslindale,300000,0,0,0,0,0,0,0,150000,150000,0,0,0,0,0,300000
Parks and Recreation Department,Mount Hope Cemetery Paving Improvements,Survey and design to prioritize roadway and landscape improvements at Mt. Hope Cemetery.,Parks and Recreation Department,To Be Scheduled,Mattapan,300000,0,0,0,0,0,0,0,75000,225000,0,0,0,0,0,300000
Parks and Recreation Department,Hardiman Playground,Develop design for a complete renovation of the play area.,Parks and Recreation Department,Study Underway,Allston/Brighton,100000,0,0,0,0,0,0,25000,75000,0,0,0,0,0,0,100000
Parks and Recreation Department,Millennium Park Restroom Building,Design and construct permanent bathroom facilities for the park.,Public Facilities Department,To Be Scheduled,West Roxbury,250000,0,0,0,0,0,0,0,0,250000,0,0,0,0,0,250000
Parks and Recreation Department,Franklin Park Bear Dens,Repairs and other improvements necessary to secure and provide safe and compliant public access to the Bear Dens area of Franklin Park.,Parks and Recreation Department,In Design,Roxbury,900000,0,0,0,0,0,0,0,100000,800000,0,0,0,0,0,900000
Parks and Recreation Department,Ryan Playground Field House,"Design repairs to the fieldhouse including foundations repairs and waterproofing, updating electrical, new roof, and replace windows and doors.",Public Facilities Department,To Be Scheduled,Charlestown,75000,0,0,0,0,0,0,0,0,75000,0,0,0,0,0,75000
Parks and Recreation Department,Watson Park,Develop design plans for a set of passive parks.,Parks and Recreation Department,In Design,South End,45000,0,0,0,0,0,0,0,45000,0,0,0,0,0,0,45000
Parks and Recreation Department,Franklin Park White Stadium,"Develop designs for converting the field to artificial turf, track improvements, and other site work outside the stadium to better integrate the facility into the Franklin Park environment.",Parks and Recreation Department,In Design,Roxbury,500000,0,0,0,0,0,0,0,100000,400000,0,0,0,0,0,500000
Parks and Recreation Department,Dog Recreation Areas at Various Parks,Expand dog recreation facilities throughout the City.,Parks and Recreation Department,Annual Program,Citywide,500000,0,0,0,0,0,0,0,250000,250000,0,0,0,0,0,500000
Boston Public Schools,West Roxbury Education Complex,Design study to demolish and rebuild the West Roxbury Education Complex as a comprehensive 7-12 school.,Public Facilities Department,Study Underway,West Roxbury,150000,18000000,0,0,0,0,0,75000,2500000,15575000,0,0,0,0,0,18150000
Boston Public Schools,White Stadium Renovation,"Assess stadium facility including east and west stands, playing field, and track. Develop preliminary designs and cost estimates.",Public Facilities Department,Study Underway,Roxbury,500000,10000000,0,0,0,0,0,50000,325000,10125000,0,0,0,0,0,10500000
Boston Public Schools,Mel King Academy Design,Programming and design study for renovations of the Mel King Academy.,Public Facilities Department,Study Underway,South End,257000,20000000,0,0,0,0,0,100000,1500000,18657000,0,0,0,0,0,20257000
Boston Public Schools,Masonry Repairs at Various Schools,Repair school building masonry at schools across the district.,Boston Public Schools,In Construction,Citywide,10000000,0,0,0,0,0,0,0,4000000,6000000,0,0,0,0,0,10000000
Boston Public Schools,Bates School Boilers,Replace the boilers at Bates Elementary.,Boston Public Schools,To Be Scheduled,Roslindale,1000000,0,0,0,0,0,0,0,100000,900000,0,0,0,0,0,1000000
Boston Public Schools,Dudley Street NCS HVAC,Upgrade the HVAC at the Dudley Street Neighborhood Charter School.,Public Facilities Department,In Design,Roxbury,513000,0,0,0,0,0,0,0,75000,438000,0,0,0,0,0,513000
Boston Public Schools,Condon School Lighting Improvements,Upgrade lighting at Condon Elementary.,Boston Public Schools,To Be Scheduled,South Boston,500000,0,0,0,0,0,0,0,250000,250000,0,0,0,0,0,500000
Boston Public Schools,Warren-Prescott School Lighting Improvements,Upgrade lighting at the Warren-Prescott.,Public Facilities Department,To Be Scheduled,Charlestown,300000,0,0,0,0,0,0,0,150000,150000,0,0,0,0,0,300000
Boston Public Schools,John F. Kennedy School Fire Alarms,Repair and upgrade the fire alarm system.,Boston Public Schools,To Be Scheduled,Jamaica Plain,705000,0,0,0,0,0,0,0,250000,455000,0,0,0,0,0,705000
Boston Public Schools,Cleveland Building Renovation,"Major renovations of the Cleveland School building, including repairs to the roof and building exterior.",Public Facilities Department,In Design,Dorchester,2150000,0,0,0,0,0,0,0,500000,1650000,0,0,0,0,0,2150000
Boston Public Schools,Winthrop School Roof,Replace the roof.,Boston Public Schools,In Design,Dorchester,1700000,0,0,0,0,0,0,0,500000,1200000,0,0,0,0,0,1700000
Boston Public Schools,Mendell School Roof,Replace the roof.,Boston Public Schools,To Be Scheduled,Roxbury,50000,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,50000
Boston Public Schools,Holmes School Plumbing,Replace and repair the plumbing.,Boston Public Schools,To Be Scheduled,Dorchester,288000,0,0,0,0,0,0,0,50000,238000,0,0,0,0,0,288000
Boston Public Schools,Library Improvements at Various Schools,Upgrade school libraries across the district.,Boston Public Schools,Annual Program,Citywide,3000000,0,0,0,0,0,0,0,1000000,2000000,0,0,0,0,0,3000000
Boston Public Schools,Science Room Upgrades at Various Schools,Upgrade science rooms at schools across the district.,Boston Public Schools,Annual Program,Citywide,3000000,0,0,0,0,0,0,0,1000000,2000000,0,0,0,0,0,3000000
Boston Public Schools,Art Room Upgrades at Various Schools,Upgrade art rooms at various schools across the district.,Boston Public Schools,Annual Program,Citywide,500000,0,0,0,0,0,0,0,300000,200000,0,0,0,0,0,500000
Public Works Department,Fleet Electrification Building Assessment,Conduct a building assessment to determine what infrastructure is needed for fleet electrification.,Public Facilities Department,To Be Scheduled,Citywide,250000,0,0,0,0,0,0,0,125000,125000,0,0,0,0,0,250000
Public Works Department,Street Lighting Maintenance Facility,A study to determine a location for a permanent public works street lighting facility.,Public Facilities Department,To Be Scheduled,Citywide,2500000,0,0,0,0,0,0,0,0,2500000,0,0,0,0,0,2500000
Public Works Department,Street Lighting Infrastructure Upgrades,Replacement of street lighting infrastructure to promote safety and well-being.,Public Works Department,Annual Program,Citywide,4550000,0,0,0,0,0,0,2500000,2000000,50000,0,0,0,0,0,4550000
Public Works Department,Inventory Management Program,Purchase and implement an inventory management system for street lighting tools and supplies.,Public Works Department,To Be Scheduled,Citywide,750000,0,0,0,0,0,0,0,50000,700000,0,0,0,0,0,750000
Transportation Department,Southwest Neighborhood Transit Action Plan,Study and develop a Transportation Action Plan for the southwest neighborhoods of Boston.,Boston Transportation Department,To Be Scheduled,Multiple Neighborhoods,1600000,0,0,0,0,0,0,0,150000,1450000,0,0,0,0,0,1600000
Transportation Department,Fairmount Line Urban Rail Study,Commission a technical analysis on transforming the Fairmount Commuter Rail Line to a subway-like service level.,Boston Transportation Department,To Be Scheduled,Multiple Neighborhoods,0,0,0,500000,290000,0,0,0,0,0,0,0,150000,640000,0,790000
Transportation Department,Safe Routes to Schools,Provide ROW services to support a MassDOT funded SRTS project in the vicinity of the David Ellis School in Roxbury.,Boston Transportation Department,To Be Scheduled,Multiple Neighborhoods,100000,0,0,0,0,0,0,0,50000,50000,0,0,0,0,0,100000
Transportation Department,Norwell Street Square,Develop dead-end section of Park Street into a plaza in conjunction with the development of a park in the adjacent lots.,Parks and Recreation Department,In Design,Dorchester,140000,0,0,0,0,0,0,0,40000,100000,0,0,0,0,0,140000
Public Works Department,Central Maintenance Facility Complex,"Continued renovations to the building, garage, and grounds.",Public Facilities Department,In Design,South End,3800000,2725000,0,0,0,0,0,2000000,2000000,2525000,0,0,0,0,0,6525000
Boston Public Schools,P. J. Kennedy School Renovation,"Replace boilers, install new fire sprinklers, and a new elevator to make the school building more accessible.",Public Facilities Department,In Construction,East Boston,16200000,0,0,0,0,0,1750,3000000,9500000,3698250,0,0,0,0,0,16200000
Parks and Recreation Department,Open Space Acquisition,Acquire property suitable for preservation and use as public open space.,Parks and Recreation Department,Annual Program,Citywide,10000000,0,0,0,0,0,0,0,0,10000000,0,0,0,0,0,10000000
Boston Public Schools,Timilty School Reconfiguration,Upgrade building facilities at the Timilty School to facilitate grade reconfiguration.,Public Facilities Department,To Be Scheduled,Roxbury,3000000,0,0,0,0,0,0,0,1500000,1500000,0,0,0,0,0,3000000
Department of Innovation and Technology,FY23 Investment Proposals,Identify and procure IT solutions for City departments.,Department of Innovation and Technology,Implementation Underway,Citywide,500000,0,0,0,0,0,0,0,25000,475000,0,0,0,0,0,500000
Boston Centers for Youth and Families,BCYF Dorchester Community Center,Design and construct a new community center based on the recent programming study.,Public Facilities Department,In Design,Dorchester,4000000,61000000,0,0,0,0,0,300000,4000000,60700000,0,0,0,0,0,65000000
Parks and Recreation Department,Court Renovations,"Annual program to rehabilitate tennis, basketball, and street hockey courts citywide.",Parks and Recreation Department,Annual Program,Citywide,2375000,1625000,0,0,0,0,0,800000,1000000,2200000,0,0,0,0,0,4000000
Parks and Recreation Department,George Wright Golf Course,"Ongoing improvements including drainage, paving, and other miscellaneous items.",Parks and Recreation Department,Annual Program,Hyde Park,1000000,0,0,0,0,0,0,250000,500000,250000,0,0,0,0,0,1000000
Parks and Recreation Department,Historic Cemeteries,Ongoing program of repairs in designated historic cemeteries located throughout the City.,Parks and Recreation Department,Annual Program,Multiple Neighborhoods,1000000,500000,500000,0,0,0,0,400000,500000,1100000,0,0,0,0,0,2000000
Parks and Recreation Department,Public Garden Lagoon,"Repair and backfill missing, destroyed, and leaking granite coping surrounding the lagoon.",Parks and Recreation Department,Annual Program,Beacon Hill,1800000,0,0,0,0,0,0,0,200000,1600000,0,0,0,0,0,1800000
Parks and Recreation Department,Street Tree Planting,Ongoing program of street tree planting throughout the City.,Parks and Recreation Department,Annual Program,Citywide,4800000,2700000,0,0,0,0,0,2300000,2500000,2700000,0,0,0,0,0,7500000
Parks and Recreation Department,Urban Wilds,"Renovate walls, walkways, and signage within urban wilds owned by the Environment Department and the Parks and Recreation Department.",Parks and Recreation Department,Annual Program,Citywide,800000,600000,600000,0,0,0,1500,100000,400000,1498500,0,0,0,0,0,2000000
Parks and Recreation Department,William Devine Golf Course,"Improve drainage, paving, and other miscellaneous items.",Parks and Recreation Department,Annual Program,Roxbury,1000000,150000,0,0,0,0,0,50000,1000000,100000,0,0,0,0,0,1150000
Boston Public Schools,Technology Infrastructure,Upgrades to technology infrastructure in support of 21st century learning.,Boston Public Schools,Annual Program,Citywide,7000000,0,7000000,0,0,0,0,3500000,3500000,7000000,0,0,0,0,0,14000000
Public Works Department,Street Lighting Installation,Installation of street lights in various locations.,Public Works Department,Annual Program,Citywide,6000000,0,3000000,0,0,0,0,3000000,3000000,3000000,0,0,0,0,0,9000000
Public Works Department,Walkable Streets,"Sidewalk improvement program designed to target key neighborhood streets and corridors by reconstructing longer, contiguous sidewalk sections.",Public Works Department,Annual Program,Citywide,5760000,0,0,0,0,0,0,0,3500000,2260000,0,0,0,0,0,5760000
Public Works Department,Roadway Reconstruction and Resurfacing,"Includes road reconstruction, roadway resurfacing, sidewalk reconstruction, and traffic signal replacement where appropriate.",Public Works Department,Annual Program,Citywide,20600000,0,7000000,18000000,5528694,22000000,0,6000000,7000000,14600000,0,7000000,11000000,27528694,0,73128694
Transportation Department,Transportation Planning,"Develop and test new mobility strategies that pertain to transportation demand management, electric vehicles, and neighborhood mobility hubs.",Boston Transportation Department,Annual Program,Citywide,1315000,0,0,200000,0,0,0,0,500000,815000,0,0,0,200000,0,1515000
Transportation Department,Traffic Signals,"Provide traffic signal design services, install or upgrade existing traffic signals and controls, install new control boxes and battery backup equipment.",Boston Transportation Department,Annual Program,Citywide,3500000,0,7000000,0,0,0,0,3500000,3500000,3500000,0,0,0,0,0,10500000
Transportation Department,Crosswalks and Lane Markings,Provide additional crosswalk and lane markings.,Boston Transportation Department,Annual Program,Citywide,0,0,0,4500000,0,0,0,0,0,0,0,1500000,1500000,1500000,0,4500000
Transportation Department,Accessible Pedestrian Signals,"Purchase and install APS devices for new construction, major reconstructions, and by request as outlined in the City's response to the federal mandate.",Boston Transportation Department,Annual Program,Citywide,1500000,0,0,0,0,0,0,0,500000,1000000,0,0,0,0,0,1500000
Property Management Department,City Hall HVAC,Replace air handling units.,Public Facilities Department,In Design,Downtown/Government Center,40000000,38220000,0,0,0,0,401745,250000,15000000,62568255,0,0,0,0,0,78220000
Parks and Recreation Department,Moakley Park O&M Building,Design a new operations and maintenance building as part of Phase 1 park improvements.,Public Facilities Department,In Design,South Boston,1050000,0,0,0,0,0,0,250000,500000,300000,0,0,0,0,0,1050000
Boston Public Schools,Allston Elementary School Design,Develop a building program and design for the construction of a new preK-6 school to be located on the site of the Jackson Mann School.,Public Facilities Department,Study Underway,Allston/Brighton,150000,10000000,0,0,0,0,0,75000,500000,9575000,0,0,0,0,0,10150000
Boston Public Schools,Horace Mann School Siting Study,Study that will evaluate locations for the permanent siting of the Horace Mann School for the Deaf and Hard of Hearing.,Public Facilities Department,Study Underway,Citywide,150000,0,0,0,0,0,0,75000,75000,0,0,0,0,0,0,150000
Boston Public Schools,Roxbury Elementary School Study,Develop a building program for the design and construction of a new preK-6 school.,Public Facilities Department,To Be Scheduled,Roxbury,150000,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,150000
