cabinet,dept,program,expense_category,fy21_actual_expense,fy22_actual_expense,fy23_appropriation,fy24_adopted,fy24_change_from_fy23
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Personnel Services,207661.97,224922.91,308725.9647,282855.0657,-25870.899000000034
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Contractual Services,12797.83,5421.37,330900.0,331502.0,602.0
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Supplies & Materials,270.91,1306.71,1286.9432,1947.9614,661.0182
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Current Charges & Obligations,35393.89,44116.53,60000.0,60000.0,0.0
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Equipment,462.5,30273.83,2000.0,24488.81,22488.81
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Other Expenses,49325.67,173135.44,225000.0,225000.0,0.0
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Personnel Services,70092.83,75461.84,78079.49343,169898.3214,91818.82796999998
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Contractual Services,1848.49,1504.34,4500.0,4500.0,0.0
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Supplies & Materials,1469.75,484.03,2500.0,2500.0,0.0
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Current Charges & Obligations,,250.0,100.0,100.0,0.0
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Other Expenses,6337.14,26721.34,38750.0,38750.0,0.0
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Boston Residents Job Policy,Personnel Services,,,2246597.273,909513.5798,-1337083.6932
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Boston Residents Job Policy,Contractual Services,,,1236950.0,133740.0,-1103210.0
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Boston Residents Job Policy,Supplies & Materials,,,10430.0,5820.0,-4610.0
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Boston Residents Job Policy,Current Charges & Obligations,,,7198.0,0.0,-7198.0
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Boston Residents Job Policy,Equipment,,,4000.0,3200.0,-800.0
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Worker Empowerment Administration,Personnel Services,,,,367180.305,
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Worker Empowerment Administration,Contractual Services,,,,290000.0,
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Worker Empowerment Administration,Other Expenses,,,,1151660.0,
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Personnel Services,6254010.52,7988496.84,10623481.22,7507291.484,-3116189.7360000005
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Contractual Services,286539.4,2557953.23,6399453.0,9837758.0,3438305.0
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Supplies & Materials,35445.13,58996.77,68500.0,68500.0,0.0
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Current Charges & Obligations,8905.08,44735.04,56496.0,56496.0,0.0
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Equipment,12221.69,,4500.0,4500.0,0.0
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Other Expenses,562500.0,562500.0,562500.0,562500.0,0.0
Education Cabinet,Boston Public Schools,Alternative,Personnel Services,1653711.73,1719010.49,2206003.0,2583371.0,377368.0
Education Cabinet,Boston Public Schools,Alternative,Contractual Services,16855.0,8948.33,26278.0,26278.0,0.0
Education Cabinet,Boston Public Schools,Alternative,Supplies & Materials,11073.15,8157.96,,,
Education Cabinet,Boston Public Schools,Alternative,Equipment,5092.0,2096.0,,,
Education Cabinet,Boston Public Schools,Early Learning Center,Personnel Services,13353662.09,14189560.54,17029773.0,18019808.0,990035.0
Education Cabinet,Boston Public Schools,Early Learning Center,Contractual Services,352260.0,224894.72,254529.0,387574.0,133045.0
Education Cabinet,Boston Public Schools,Early Learning Center,Supplies & Materials,105789.82,169759.78,149370.0,147541.0,-1829.0
Education Cabinet,Boston Public Schools,Early Learning Center,Equipment,6450.4,4547.0,,31993.0,
Education Cabinet,Boston Public Schools,Elementary,Personnel Services,140874624.0,146358168.9,185431357.0,193547579.0,8116222.0
Education Cabinet,Boston Public Schools,Elementary,Contractual Services,1710794.9,1700743.79,966076.0,806682.0,-159394.0
Education Cabinet,Boston Public Schools,Elementary,Supplies & Materials,978701.64,1274705.51,700611.0,858308.0,157697.0
Education Cabinet,Boston Public Schools,Elementary,Current Charges & Obligations,,,,11241.0,
Education Cabinet,Boston Public Schools,Elementary,Equipment,264464.88,279671.9,21847.0,6000.0,-15847.0
Education Cabinet,Boston Public Schools,Exam,Personnel Services,36724356.02,37892696.11,46694219.0,50150040.0,3455821.0
Education Cabinet,Boston Public Schools,Exam,Contractual Services,180422.86,16988.57,35507.0,300.0,-35207.0
Education Cabinet,Boston Public Schools,Exam,Supplies & Materials,387868.12,235414.23,281670.0,188443.0,-93227.0
Education Cabinet,Boston Public Schools,Exam,Current Charges & Obligations,,12450.0,14000.0,,
Education Cabinet,Boston Public Schools,Exam,Equipment,86436.0,7997.95,,,
Education Cabinet,Boston Public Schools,High,Personnel Services,104844459.3,111918421.7,152525968.0,167412954.0,14886986.0
Education Cabinet,Boston Public Schools,High,Contractual Services,1403087.39,1242003.32,1411776.0,1389537.0,-22239.0
Education Cabinet,Boston Public Schools,High,Supplies & Materials,1083658.58,808055.49,870536.0,1602591.0,732055.0
Education Cabinet,Boston Public Schools,High,Current Charges & Obligations,,4999.55,6000.0,,
Education Cabinet,Boston Public Schools,High,Equipment,184128.77,317313.67,39137.0,172904.0,133767.0
Education Cabinet,Boston Public Schools,K-12,Personnel Services,10422568.24,10698065.57,14297110.0,14788294.0,491184.0
Education Cabinet,Boston Public Schools,K-12,Contractual Services,279461.0,249138.73,,2700.0,
Education Cabinet,Boston Public Schools,K-12,Supplies & Materials,129349.63,39335.84,2214.0,1611.0,-603.0
Education Cabinet,Boston Public Schools,K-12,Equipment,15218.92,1048.0,,,
Education Cabinet,Boston Public Schools,K-8,Personnel Services,181167346.5,184376796.8,221964827.0,229918721.0,7953894.0
Education Cabinet,Boston Public Schools,K-8,Contractual Services,1376224.35,1162542.94,670182.0,1027554.0,357372.0
Education Cabinet,Boston Public Schools,K-8,Supplies & Materials,1753511.47,1504622.48,1144056.0,789608.0,-354448.0
Education Cabinet,Boston Public Schools,K-8,Current Charges & Obligations,4405.0,,,,
Education Cabinet,Boston Public Schools,K-8,Equipment,345202.8,260610.09,43624.0,6200.0,-37424.0
Education Cabinet,Boston Public Schools,Middle,Personnel Services,24108847.92,16534744.54,11695938.0,11231381.0,-464557.0
Education Cabinet,Boston Public Schools,Middle,Contractual Services,295937.81,79314.0,40169.0,49129.0,8960.0
Education Cabinet,Boston Public Schools,Middle,Supplies & Materials,182890.27,65010.87,20995.0,21645.0,650.0
Education Cabinet,Boston Public Schools,Middle,Equipment,56542.7,2971.8,,5600.0,
Education Cabinet,Boston Public Schools,Middle/High,Personnel Services,27923723.52,30143915.17,40710234.0,43516760.0,2806526.0
Education Cabinet,Boston Public Schools,Middle/High,Contractual Services,393633.77,1611360.68,166658.0,210473.0,43815.0
Education Cabinet,Boston Public Schools,Middle/High,Supplies & Materials,177413.03,117718.54,48952.0,74604.0,25652.0
Education Cabinet,Boston Public Schools,Middle/High,Equipment,280641.59,335163.89,105490.0,58462.0,-47028.0
Education Cabinet,Boston Public Schools,"Special Ed, K-12",Personnel Services,18578546.96,18188364.97,22558337.0,23024559.0,466222.0
Education Cabinet,Boston Public Schools,"Special Ed, K-12",Contractual Services,612501.49,557336.26,641334.0,788178.0,146844.0
Education Cabinet,Boston Public Schools,"Special Ed, K-12",Supplies & Materials,147877.84,189521.81,222945.0,330481.0,107536.0
Education Cabinet,Boston Public Schools,"Special Ed, K-12",Equipment,131863.56,65397.65,54916.0,125062.0,70146.0
Education Cabinet,Boston Public Schools,Superintendent,Personnel Services,2073108.64,2270394.73,2598588.0,2772039.0,173451.0
Education Cabinet,Boston Public Schools,Superintendent,Contractual Services,182285.2,1138326.31,372935.0,372051.0,-884.0
Education Cabinet,Boston Public Schools,Superintendent,Supplies & Materials,15326.81,17868.33,24433.0,24599.0,166.0
Education Cabinet,Boston Public Schools,Superintendent,Equipment,12809.98,6771.3,5732.0,6561.0,829.0
Education Cabinet,Boston Public Schools,Superintendent,Other Expenses,,,468079.0,468079.0,0.0
Education Cabinet,Boston Public Schools,Student Support Services (C),Personnel Services,53163663.24,51067334.63,61816040.0,68902923.0,7086883.0
Education Cabinet,Boston Public Schools,Student Support Services (C),Contractual Services,8876796.84,6968913.29,7386271.0,8398047.0,1011776.0
Education Cabinet,Boston Public Schools,Student Support Services (C),Supplies & Materials,455196.07,334636.41,442987.0,561173.0,118186.0
Education Cabinet,Boston Public Schools,Student Support Services (C),Current Charges & Obligations,2379.0,4800.0,7982.0,11566.0,3584.0
Education Cabinet,Boston Public Schools,Student Support Services (C),Equipment,206037.98,119278.24,124672.0,361773.0,237101.0
Education Cabinet,Boston Public Schools,Strategy,Personnel Services,37520893.42,36475854.31,32903633.0,32331978.0,-571655.0
Education Cabinet,Boston Public Schools,Strategy,Contractual Services,3378486.64,9183476.52,13144840.0,11125901.0,-2018939.0
Education Cabinet,Boston Public Schools,Strategy,Supplies & Materials,86906.44,131410.07,206005.0,272693.0,66688.0
Education Cabinet,Boston Public Schools,Strategy,Current Charges & Obligations,,42361.32,21196.0,21229.0,33.0
Education Cabinet,Boston Public Schools,Strategy,Equipment,112708.24,100318.47,72852.0,81450.0,8598.0
Education Cabinet,Boston Public Schools,Strategy,Other Expenses,826663.63,646711.9,173663.0,173663.0,0.0
Education Cabinet,Boston Public Schools,School Committee,Personnel Services,185687.09,204516.58,249922.0,271445.0,21523.0
Education Cabinet,Boston Public Schools,School Committee,Contractual Services,41418.01,208591.35,65863.0,137152.0,71289.0
Education Cabinet,Boston Public Schools,School Committee,Supplies & Materials,4140.48,3912.71,6179.0,4179.0,-2000.0
Education Cabinet,Boston Public Schools,School Committee,Equipment,1120.0,1048.0,1151.0,1151.0,0.0
Education Cabinet,Boston Public Schools,BPS Finance,Personnel Services,272543203.0,271720945.8,201566192.0,168901505.0,-32664687.0
Education Cabinet,Boston Public Schools,BPS Finance,Contractual Services,51573967.42,47060954.79,28479603.0,24953142.0,-3526461.0
Education Cabinet,Boston Public Schools,BPS Finance,Supplies & Materials,1586148.31,1892864.23,1998407.0,1946080.0,-52327.0
Education Cabinet,Boston Public Schools,BPS Finance,Current Charges & Obligations,1334672.75,1655603.91,7755140.0,19445954.0,11690814.0
Education Cabinet,Boston Public Schools,BPS Finance,Equipment,106493.56,145651.91,499349.0,517512.0,18163.0
Education Cabinet,Boston Public Schools,Chief of Schools,Personnel Services,2630515.2,2683542.24,2553989.0,3381115.0,827126.0
Education Cabinet,Boston Public Schools,Chief of Schools,Contractual Services,14000.0,21974.0,10536.0,26657.0,16121.0
Education Cabinet,Boston Public Schools,Chief of Schools,Supplies & Materials,5754.87,7681.3,8167.0,8167.0,0.0
Education Cabinet,Boston Public Schools,Chief of Schools,Current Charges & Obligations,,,149706.0,,
Education Cabinet,Boston Public Schools,Chief of Schools,Equipment,,2233.0,3710.0,3710.0,0.0
Education Cabinet,Boston Public Schools,ASSET,Personnel Services,10731100.52,11227025.01,15611999.0,18304310.0,2692311.0
Education Cabinet,Boston Public Schools,ASSET,Contractual Services,7983280.96,9718732.33,10608277.0,14891372.0,4283095.0
Education Cabinet,Boston Public Schools,ASSET,Supplies & Materials,3590553.93,1896358.23,2656728.0,2452650.0,-204078.0
Education Cabinet,Boston Public Schools,ASSET,Current Charges & Obligations,36385.37,1240.0,35230.0,35230.0,0.0
Education Cabinet,Boston Public Schools,ASSET,Equipment,112817.98,80646.0,132150.0,143733.0,11583.0
Education Cabinet,Boston Public Schools,BPS Operations,Personnel Services,58441649.48,58844436.9,66542345.0,74203801.0,7661456.0
Education Cabinet,Boston Public Schools,BPS Operations,Contractual Services,152201073.1,174443907.6,172449971.0,201435911.0,28985940.0
Education Cabinet,Boston Public Schools,BPS Operations,Supplies & Materials,6023207.07,1655376.66,2019571.0,3874035.0,1854464.0
Education Cabinet,Boston Public Schools,BPS Operations,Current Charges & Obligations,4525239.89,4480086.52,6309228.0,6962740.0,653512.0
Education Cabinet,Boston Public Schools,BPS Operations,Equipment,6962847.64,9866379.78,12672706.0,12678814.0,6108.0
Education Cabinet,Boston Public Schools,Turnaround and Transformation,Personnel Services,,225279.07,487703.0,420170.0,-67533.0
Education Cabinet,Boston Public Schools,Turnaround and Transformation,Contractual Services,,17702.31,584556.0,458226.0,-126330.0
Education Cabinet,Boston Public Schools,Capital Planning Unit,Personnel Services,305102.63,332782.33,748272.0,815145.0,66873.0
Education Cabinet,Boston Public Schools,Capital Planning Unit,Contractual Services,,3036535.57,51000.0,51000.0,0.0
Education Cabinet,Boston Public Schools,Capital Planning Unit,Supplies & Materials,,72.55,,,
Education Cabinet,Boston Public Schools,Capital Planning Unit,Current Charges & Obligations,,182058.72,182112.0,204649.0,22537.0
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Personnel Services,2436307.1,2784883.32,2534392.048,2405681.748,-128710.29999999981
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Contractual Services,680823.34,1945504.64,757797.0,1135687.2,377890.19999999995
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Supplies & Materials,15663.29,34094.81,10000.0,16300.0,6300.0
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Current Charges & Obligations,4886.83,4668.15,4400.0,30621.0,26221.0
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Equipment,,,,0.0,
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Other Expenses,,,500000.0,,
"Environment, Energy & Open Space Cabinet",Environment Department,"Office of Environment, Energy & Open Space",Personnel Services,,,,645566.8885,
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks & Recreation Administration,Personnel Services,2513068.89,2675185.25,2448020.887,2704951.953,256931.0660000001
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks & Recreation Administration,Contractual Services,393445.66,475569.12,539737.0,436130.0,-103607.0
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks & Recreation Administration,Supplies & Materials,32234.17,35696.38,39050.0,29050.0,-10000.0
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks & Recreation Administration,Current Charges & Obligations,438215.29,519428.11,441088.0,435270.93,-5817.070000000007
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks & Recreation Administration,Equipment,56397.65,52477.81,54036.25,81204.41,27168.160000000003
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Operations,Personnel Services,8544588.42,9524414.58,9176544.043,9019681.5,-156862.5429999996
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Operations,Contractual Services,3957266.85,4367356.72,4142951.846,5010954.96,868003.1140000001
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Operations,Supplies & Materials,722834.52,943348.17,855622.7188,935633.33,80010.61119999993
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Operations,Current Charges & Obligations,60175.84,54695.29,68765.0,57597.0,-11168.0
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Operations,Equipment,845315.73,950423.29,1272936.735,1597982.004,325045.26899999985
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Operations,Other Expenses,1918619.65,2073559.72,966268.0,1401274.0,435006.0
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Citywide Recreation,Personnel Services,756500.01,881887.16,934056.0348,1143095.999,209039.96420000005
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Citywide Recreation,Contractual Services,27665.51,124264.98,286039.0,331097.81,45058.81
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Citywide Recreation,Supplies & Materials,50915.89,209878.86,57250.0,57250.0,0.0
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Citywide Recreation,Current Charges & Obligations,118979.05,130425.08,100484.0,100484.0,0.0
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Citywide Recreation,Equipment,7271.88,3635.94,,,
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Design & Construction,Personnel Services,1319216.67,1308965.19,1379186.566,1887573.977,508387.41099999985
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Design & Construction,Contractual Services,2608964.55,6105419.15,706754.2212,943043.9598,236289.73859999992
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Design & Construction,Supplies & Materials,74215.1,750.0,750.0,750.0,0.0
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Design & Construction,Current Charges & Obligations,,,83682.0,150907.0,67225.0
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Animal Care & Control,Personnel Services,1029663.27,1212413.32,1372524.316,1395980.428,23456.111999999965
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Animal Care & Control,Contractual Services,37884.0,137763.31,180445.0,180445.0,0.0
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Animal Care & Control,Supplies & Materials,16337.99,91253.93,91939.8,93220.0,1280.199999999997
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Animal Care & Control,Current Charges & Obligations,201.76,657.48,10470.0,9306.59,-1163.4099999999999
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Animal Care & Control,Equipment,21753.32,10876.66,11493.9,70355.7,58861.799999999996
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Urban Forestry,Personnel Services,,,1405807.921,988838.7144,-416969.20660000003
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Urban Forestry,Contractual Services,,,289449.0,289449.0,0.0
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Urban Forestry,Equipment,,,,198551.9232,
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Urban Forestry,Other Expenses,,,1675000.0,1635000.0,-40000.0
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Cemetery,Personnel Services,1953496.59,1817343.46,1993532.426,1970592.359,-22940.06700000004
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Cemetery,Contractual Services,307090.32,336724.13,404792.8467,475139.8917,70347.04499999998
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Cemetery,Supplies & Materials,64739.51,72162.09,97417.7035,104814.72,7397.016499999998
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Cemetery,Current Charges & Obligations,24254.33,39458.8,21189.0,25071.17,3882.1699999999983
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Cemetery,Equipment,168648.28,128778.74,125485.96,211234.925,85748.96499999998
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Cemetery,Other Expenses,36925.0,81551.0,20000.0,142075.0,122075.0
"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Personnel Services,,,1094814.8,1310426.022,215611.22200000007
"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Contractual Services,,,182517.0,100416.0,-82101.0
"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Supplies & Materials,,,19000.0,28800.0,9800.0
"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Current Charges & Obligations,,,,6038.0,
"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Personnel Services,,,443210.2066,518635.9915,75425.78490000003
"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Contractual Services,,,913000.0,833562.77,-79437.22999999998
"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Supplies & Materials,,,2000.0,16500.0,14500.0
"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Current Charges & Obligations,,,150.0,2734.0,2584.0
Finance Cabinet,Office of Finance,A&F,Personnel Services,785330.07,877574.82,937900.1953,881811.3838,-56088.81150000007
Finance Cabinet,Office of Finance,A&F,Contractual Services,2879758.07,1506499.17,1706603.3,800410.0,-906193.3
Finance Cabinet,Office of Finance,A&F,Supplies & Materials,1476.03,508.73,1250.0,1250.0,0.0
Finance Cabinet,Office of Finance,A&F,Current Charges & Obligations,3651.29,2939.04,2800.0,2404.0,-396.0
Finance Cabinet,Office of Finance,A&F,Equipment,17593.0,2652.0,0.0,,
Finance Cabinet,Assessing Department,Assessing Operations,Personnel Services,2466167.75,2511237.11,2352816.333,2549897.663,197081.33000000007
Finance Cabinet,Assessing Department,Assessing Operations,Contractual Services,109626.81,74206.45,111600.0,121632.8,10032.800000000003
Finance Cabinet,Assessing Department,Assessing Operations,Supplies & Materials,125526.87,61212.42,56739.8128,66661.28,9921.4672
Finance Cabinet,Assessing Department,Assessing Operations,Current Charges & Obligations,2598.27,20292.54,5000.0,3018.0,-1982.0
Finance Cabinet,Assessing Department,Assessing Operations,Equipment,,,,0.0,
Finance Cabinet,Assessing Department,Valuation,Personnel Services,3241718.37,3189053.03,3734415.68,3693905.197,-40510.48300000001
Finance Cabinet,Assessing Department,Valuation,Contractual Services,183401.29,164960.47,416200.0,374532.0,-41668.0
Finance Cabinet,Assessing Department,Valuation,Supplies & Materials,7250.0,6750.0,9000.0,0.0,-9000.0
Finance Cabinet,Assessing Department,Valuation,Current Charges & Obligations,149590.1,156318.33,162300.0,207000.0,44700.0
Finance Cabinet,Assessing Department,Valuation,Equipment,,118995.0,0.0,,
Finance Cabinet,Assessing Department,Executive,Personnel Services,889101.54,821912.19,1233753.791,1222278.036,-11475.754999999888
Finance Cabinet,Assessing Department,Executive,Contractual Services,165437.03,148572.08,195000.0,222297.8,27297.79999999999
Finance Cabinet,Assessing Department,Executive,Supplies & Materials,500.0,500.0,500.0,0.0,-500.0
Finance Cabinet,Assessing Department,Executive,Current Charges & Obligations,6274.71,6551.28,6000.0,10000.0,4000.0
Finance Cabinet,Auditing Department,Auditing Administration,Personnel Services,521782.35,556282.95,634782.7928,655808.3449,21025.55209999997
Finance Cabinet,Auditing Department,Auditing Administration,Contractual Services,106706.75,94599.57,123402.0,76392.2,-47009.8
Finance Cabinet,Auditing Department,Auditing Administration,Supplies & Materials,956.8,6735.64,2707.0,2707.0,0.0
Finance Cabinet,Auditing Department,Auditing Administration,Current Charges & Obligations,2662.76,2720.26,1961.0,961.0,-1000.0
Finance Cabinet,Auditing Department,Accounting,Personnel Services,687080.55,509180.42,768452.2106,842823.3909,74371.1803
Finance Cabinet,Auditing Department,Accounting,Contractual Services,258364.67,208745.71,7885.0,81769.0,73884.0
Finance Cabinet,Auditing Department,Accounting,Supplies & Materials,155.17,841.14,1757.0,1757.0,0.0
Finance Cabinet,Auditing Department,Accounting,Current Charges & Obligations,19987.0,7205.0,36972.5,41973.0,5000.5
Finance Cabinet,Auditing Department,Central Payroll,Personnel Services,504497.26,613985.53,647237.3586,788021.4601,140784.1015
Finance Cabinet,Auditing Department,Central Payroll,Contractual Services,589.29,1291.6,3795.0,4099.0,304.0
Finance Cabinet,Auditing Department,Central Payroll,Supplies & Materials,1133.45,564.98,1400.0,1400.0,0.0
Finance Cabinet,Auditing Department,Central Payroll,Current Charges & Obligations,1507.0,150.0,516.0,516.0,0.0
Finance Cabinet,Auditing Department,Central Payroll,Equipment,2218.24,,,,
Finance Cabinet,Auditing Department,Grants Monitoring,Personnel Services,352116.23,340109.47,202307.7571,343550.5915,141242.8344
Finance Cabinet,Auditing Department,Grants Monitoring,Contractual Services,1757.79,1674.7,3085.0,3991.0,906.0
Finance Cabinet,Auditing Department,Grants Monitoring,Supplies & Materials,15.46,30.08,957.0,957.0,0.0
Finance Cabinet,Auditing Department,Grants Monitoring,Current Charges & Obligations,1370.0,1050.0,455.0,455.0,0.0
Finance Cabinet,Auditing Department,Accounts Payable,Personnel Services,655808.3,693097.55,824899.6553,834094.4301,9194.774800000014
Finance Cabinet,Auditing Department,Accounts Payable,Contractual Services,6497.43,2986.05,7815.0,10914.2,3099.2000000000007
Finance Cabinet,Auditing Department,Accounts Payable,Supplies & Materials,1781.54,1257.33,4707.0,4707.0,0.0
Finance Cabinet,Auditing Department,Accounts Payable,Current Charges & Obligations,3095.0,2654.79,388.0,199.0,-189.0
Finance Cabinet,Auditing Department,Accounts Payable,Equipment,2218.24,,,,
Finance Cabinet,Budget Management,Budget Administration,Personnel Services,868922.04,802625.98,1007458.621,856591.0537,-150867.5673
Finance Cabinet,Budget Management,Budget Administration,Contractual Services,373366.25,589032.24,162550.0,189172.0,26622.0
Finance Cabinet,Budget Management,Budget Administration,Supplies & Materials,916.88,3642.22,4850.0,5850.0,1000.0
Finance Cabinet,Budget Management,Budget Administration,Current Charges & Obligations,56183.26,76745.22,63785.0,76461.0,12676.0
Finance Cabinet,Budget Management,Budget Administration,Equipment,6942.35,22633.13,,,
Finance Cabinet,Budget Management,Budget & Management,Personnel Services,857130.26,776336.92,793437.8258,1073420.604,279982.77820000006
Finance Cabinet,Budget Management,Budget & Management,Contractual Services,567.88,1530.33,1800.0,3510.0,1710.0
Finance Cabinet,Budget Management,Budget & Management,Supplies & Materials,,,500.0,,
Finance Cabinet,Budget Management,Revenue Monitoring,Personnel Services,105797.0,87835.44,97570.65504,97691.10001,120.44496999999683
Finance Cabinet,Budget Management,Revenue Monitoring,Contractual Services,,223.21,560300.0,480000.0,-80300.0
Finance Cabinet,Budget Management,Improving Management Project,Contractual Services,,,0.0,,
Finance Cabinet,Budget Management,Capital Budgeting,Personnel Services,375067.67,351975.13,423322.8035,447234.9565,23912.15299999999
Finance Cabinet,Budget Management,Capital Budgeting,Contractual Services,253.58,578.56,600.0,2808.0,2208.0
Finance Cabinet,Budget Management,Capital Budgeting,Supplies & Materials,,,750.0,500.0,-250.0
Finance Cabinet,Budget Management,Risk Management,Personnel Services,130004.78,59311.0,103619.0983,126546.424,22927.3257
Finance Cabinet,Budget Management,Risk Management,Contractual Services,,,68270.0,67970.0,-300.0
Finance Cabinet,Budget Management,Risk Management,Current Charges & Obligations,58250.0,58250.0,70885.0,70885.0,0.0
Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Personnel Services,,,240000.0,239999.7312,-0.26879999999073334
Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Contractual Services,,,5000.0,5000.0,0.0
Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Equipment,,,5000.0,5000.0,0.0
Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Other Expenses,,,1750000.0,1750000.0,0.0
Finance Cabinet,Execution of Courts,Execution of Courts,Other Expenses,5790677.54,34508737.33,5000000.0,5000000.0,0.0
Finance Cabinet,Pensions & Annuities - City,Pensions & Annuities - City,Personnel Services,3429223.23,3330307.039,3900000.0,4005000.0,105000.0
Finance Cabinet,Procurement,Purchasing Administration,Personnel Services,870392.42,960096.97,988560.9287,1101010.343,112449.41430000006
Finance Cabinet,Procurement,Purchasing Administration,Contractual Services,16235.49,20749.56,16433.0,217497.41,201064.41
Finance Cabinet,Procurement,Purchasing Administration,Supplies & Materials,2799.31,5418.33,7500.0,7500.0,0.0
Finance Cabinet,Procurement,Purchasing Administration,Current Charges & Obligations,11490.97,15333.81,4515.0,4495.0,-20.0
Finance Cabinet,Procurement,Purchasing Administration,Equipment,12024.84,24070.14,24070.13,24070.13,0.0
Finance Cabinet,Procurement,Purchasing Administration,Other Expenses,91849.05,,,,
